,geo,text,user,location
110,," UNBELIEVEABLE!Stoinis has done it with the ball, back-to-back wickets of Agarwal and Jordan means we have a superover…",SunilG01858933,
111,, RT if you would sign a petition for a  statue outside Dubai International Cricket Stadium 🔁#DCvKXIP #Dream11I…,SunilG01858933,
112,, Chris Jordan vs Marcus Stoinis (20th over)SixFourFourFourSixMarcus Stoinis plays a blinder - scores 53(21) as #DC end…,SunilG01858933,
113,, #IPL2020 Viewership on Hotstar (Highest During a match)#MIvCSK: 8.1 MILLION#DCvKXIP: 4.2 MILLION#RCBvSRH: 5.2 MILL…,Kireeti_JSP,India
114,, Never truly away from home when #WeRoarTogether 💙#DCvKXIP #Dream11IPL #IPL2020 #YehHaiNayiDilli ,ipl62013,Delhi
115,, #IPL2020 Viewership on Hotstar (Highest During a match)#MIvCSK: 8.1 MILLION#DCvKXIP: 4.2 MILLION#RCBvSRH: 5.2 MILL…,dhfmforever007,
116,," Exciting close #IPL matches ahead! In the last four IPL games played in the UAE, we have now had two tied games! The pr…",Ranjith20286667,"Chikmagalur, India"
117,, #IPL2020 Viewership on Hotstar (Highest During a match)#MIvCSK: 8.1 MILLION#DCvKXIP: 4.2 MILLION#RCBvSRH: 5.2 MILL…,JosephPrabhat,"West Bengal, India"
118,,#IPL2020 Viewership on Hotstar (Highest During a match)#MIvCSK: 8.1 MILLION#DCvKXIP: 4.2 MILLION#RCBvSRH: 5.2 M… ,TheSouthMovies1,
119,, #IPL2020 Viewership on Hotstar (Highest During a match)#MIvCSK: 8.1 MILLION#DCvKXIP: 4.2 MILLION#RCBvSRH: 5.2 MILL…,IPraveench29,
120,,3 consecutive days we have seen the youngster taking up the onus on themselves.First  then yesterda… ,adityakumar480,"Bangalore , India"
121,,#IPL2020 Viewership on Hotstar (Highest During a match)#MIvCSK: 8.1 MILLION#DCvKXIP: 4.2 MILLION#RCBvSRH: 5.2 M… ,Bingewatcher_TT,"Mumbai, India"
122,, Thala #MSDhoni in a new avatar 💪😎#RCB's victorious start to #IPL2020 🤩#DCvKXIP: the long and 'short' of it 🧐Watch #Buzz…,Tanay_Tiwari,"Somewhere, watching cricket."
123,,"Another embarassing🤦‍♂️moment was reverted today, after wat happened in d match #DCvKXIP. #KXIP lost d match due to… ",vishal_CBD,Mumbai
124,, How many salutes for his performance last night? 😎#SaddaPunjab #WakhraSquad #DCvKXIP #IPL2020   https:/…,SOUBHIKADHIKAR2,
125,, A dream debut for Ravi Bishnoi in the #IPL2020! 🙌Content courtesy:  #SaddaPunjab #WakhraSquad #DCvKXIP…,NathalyStephani,"Lima, Peru"
126,,"    Watchd.. Kohli-Warner.. the injuries, hit clash.. made it one… ",SireenBorotikar,"Toronto, Ontario"
127,, DC win the match but MAYANK Veri Innings 🤩🤩#SaddaPunjab  #WakhraSquad #DC K #DCvKXIP #IPL2020 ,Pooja_vj_addict,"Madurai South, India"
128,, Three players have scored 1000+ runs in last two IPL editions (2018 and 2019) and all three will be in action today.KL…,ashutoshnegi007,UK
129,, DC Admin's dinner tonight 👉🏻 Khayali Pulao 🤔#DCvKXIP #Dream11IPL #IPL2020 #YehHaiNayiDilli ,Pavan_Nani1984,
130,, Dream for one nightmare for another - who will win tonight #IPL2020 #DCvKXIP Super Over -what a game,MonuP18,
131,,umpires being careful after that #DCvKXIP game #RRvsCSK #CSKvRR #IPL2020,its_s20,kolkata 
132,, Woohooo! It's IPL season.Are you a cricket lover? Then here’s a chance to make the most of it. TURMS is all set to elevate…,MannaJhumjhum,
133,, IPL 2020: 'Short-run umpiring blunder borders on the bizarre' READ: #DCvKXIP #IPL2020 #KingsXI…,VinayPadhiyar09,"आह्वा,डांग"
134,, Expected KXIP XIRahulAgarwalPooranMaxwellMandeepSarfarajGowthamJordanMujeebBishnoiShami#Dream11IPL #IPL2020 #…,Sarath71369893,
135,,"  1.Virender Sehwag2.Sandeep Lamichane3.Gulam Bodi4. Cottrell ""Salute""5.Stuart Br… ",montu13713,"Bhayander West, Mumbai"
136,, . is back with another set of five questions for Matchday 2 of #IPL2020. Get the right answers and stan…,montu13713,"Bhayander West, Mumbai"
137,, Here is my #IPL2020 upcoming 5 MatchesPREMIUM LINE SCHEDULE.1. #̶M̶I̶v̶C̶S̶K̶_̶P̶R̶E̶M̶I̶U̶M̶2.#̶D̶C̶v̶K̶X̶I̶P̶_̶P̶…,Shooter01118173,
138,, Thala #MSDhoni in a new avatar 💪😎#RCB's victorious start to #IPL2020 🤩#DCvKXIP: the long and 'short' of it 🧐Watch #Buzz…,RakshithBJ2,"Bengaluru, India"
139,," No major #OTT film releases till Oct 30 when #SooraraiPottru releases, followed by #LaxmmiBomb on Nov 9. The #IPL2020 has taken…",VarnaKarthik,"Karnataka, India"
140,,  Ans}👉 C. 4-6#IPL2020 #IPL #Cricket #Twenty20  #TibetforTibetans #DCvKXIP #SSIPL2020  #SkyscraperSolutions…,SunilDSouza_,Mangalore/Kerala
141,, Two nights into #IPL2020 and already our first Super Over!Incredible passages of play in this #DCvKXIP encounter...…,ImNaushadAhmad,"उत्तर प्रदेश, भारत"
142,, #DCvKXIP : Harsha Bhogle Reveals Why Short-Run Decision Was Not Changed#IPL2020 #shortrun #KXIP…,Muku2001,Coimbatore tamilnadu
143,, #DCvKXIP : Harsha Bhogle Reveals Why Short-Run Decision Was Not Changed#IPL2020 #shortrun #KXIP…,milithebot,
144,,#DCvKXIP : Harsha Bhogle Reveals Why Short-Run Decision Was Not Changed#IPL2020… ,behindwoods,India
145,, Heads held high ✌🏻  #SaddaPunjab #WakhraSquad #IPL2020 #DCvKXIP ,shrinwantu_1986,Kolkata
146,,"   1.Virender Sehwag2.Sandeep Lamichane3.Gulam Bodi4. Cottrell ""Salute""5.Stuart Broad…",milithebot,
147,,"  1.Virender Sehwag2.Sandeep Lamichane3.Gulam Bodi4. Cottrell ""Salute""5.Stuart Br… ",PinkyDholakia,"Mumbai, India"
148,, Give it up for Magical Mayank ✨#SaddaPunjab #WakhraSquad #IPL2020 #DCvKXIP  ,AlwaysVD97,Rayagada 
149,, 📹 | ’s thoughts on last night's encounter! 👇#SaddaPunjab #WakhraSquad #DCvKXIP #IPL2020 …,AlwaysVD97,Rayagada 
150,, Match 2. Kings XI Punjab win the toss and elect to field  #DCvKXIP #Dream11IPL #IPL2020,I69817646,
151,, Match day 1️⃣ | DCvKXIP 📸#SaddaPunjab #WakhraSquad #IPL2020,AlwaysVD97,Rayagada 
152,, Heads held high ✌🏻  #SaddaPunjab #WakhraSquad #IPL2020 #DCvKXIP ,AlwaysVD97,Rayagada 
153,, Debutant Ravi Bishnoi reveals his mantra for success against #DC 👇🏻#SaddaSquad #WakhraSquad #DCvKXIP #IPL2020…,AlwaysVD97,Rayagada 
154,, How many salutes for his performance last night? 😎#SaddaPunjab #WakhraSquad #DCvKXIP #IPL2020   https:/…,AlwaysVD97,Rayagada 
155,," 🗣️ ""For the first game of the tournament, satisfied with the way things have gone about."" Read more on what Jumbo had t…",AlwaysVD97,Rayagada 
156,, A dream debut for Ravi Bishnoi in the #IPL2020! 🙌Content courtesy:  #SaddaPunjab #WakhraSquad #DCvKXIP…,AlwaysVD97,Rayagada 
157,,"   1.Virender Sehwag2.Sandeep Lamichane3.Gulam Bodi4. Cottrell ""Salute""5.Stuart Broad…",vinodsapra76,"Ambala, India"
158,,"  1.Virender Sehwag2.Sandeep Lamichane3.Gulam Bodi4. Cottrell ""Salute""5.Stuart Br… ",vinodsapra76,"Ambala, India"
159,, . is back with another set of five questions for Matchday 2 of #IPL2020. Get the right answers and stan…,vinodsapra76,"Ambala, India"
160,,  Ans}👉 C. 4-6#IPL2020 #IPL #Cricket #Twenty20  #TibetforTibetans #DCvKXIP #SSIPL2020  #SkyscraperSolutions…,karan875,"Mumbai, India"
161,, Here is my #IPL2020 upcoming 5 MatchesPREMIUM LINE SCHEDULE.1. #̶M̶I̶v̶C̶S̶K̶_̶P̶R̶E̶M̶I̶U̶M̶2.#̶D̶C̶v̶K̶X̶I̶P̶_̶P̶…,Salman39971125,"Dhaka, Bangladesh"
162,," ""My comment was to emphasise my gratitude towards the role they both have played in my personal growth as a captain,"" Shrey…",prashantarchu,India
163,," ""My comment was to emphasise my gratitude towards the role they both have played in my personal growth as a captain,"" Shrey…",pradeepYdvSp,"Prayagraj,Up,  India"
164,,  Ans}👉 C. 4-6#IPL2020 #IPL #Cricket #Twenty20  #TibetforTibetans #DCvKXIP #SSIPL2020  #SkyscraperSolutions…,ranchikuldeep,"Bokaro Steel City, India"
165,," ""My comment was to emphasise my gratitude towards the role they both have played in my personal growth as a captain,"" Shrey…",IndiaTodayFLASH,
166,, A dream debut for Ravi Bishnoi in the #IPL2020! 🙌Content courtesy:  #SaddaPunjab #WakhraSquad #DCvKXIP…,Bharatdevasi14,India 
